id,type,last_name,first_name,gender,birth_year,party,region,position,tiktok_username
732,Person,Vukajlovic,Ines,female,1991,GRÜNE,Oberösterreich,Landtag,ines.vukajlovic
738,Person,Waitz,Thomas,male,1973,GRÜNE,EU,EP,thomas_waitz
740,Person,Waldmann,Sandro,male,1988,FPÖ,Burgenland,Landtag,sandrowaldmann
742,Person,Wallner,Markus,male,1967,ÖVP,Vorarlberg,Landesregierung,lh.markus.wallner
747,Person,Weber,Thomas,male,1967,NEOS,Wien,Landtag,tho_weber
750,Person,Weinzierl,Maximilian,male,1997,FPÖ,Österreich,Nationalrat,max_fpoe
752,Person,Weninger,Hannes,male,1961,SPÖ,Niederösterreich,Landtag,hannesweninger
755,Person,Wiederkehr,Christoph,male,1990,NEOS,Österreich,Bundesregierung,chriswiederkehr
757,Person,Wieser,Johannes,male,1984,ÖVP,Steiermark,Landtag,beewieser
766,Person,Wohlgemuth,Philip,male,1987,SPÖ,Tirol,Landesregierung,philip.wohlgemuth
769,Person,Wotschke,Sophie Marie,female,1998,NEOS,Österreich,Nationalrat,sophiewotschke
770,Person,Wurm,Peter,male,1965,FPÖ,Österreich,Nationalrat,peter.wurm
771,Person,Wöginger,August,male,1974,ÖVP,Österreich,Nationalrat,gustwoeginger
774,Person,Zadić,Alma,female,1984,GRÜNE,Österreich,Nationalrat,alma_zadic
775,Person,Zadra,Daniel,male,1984,GRÜNE,Vorarlberg,Landtag,daniel_zadra1
780,Person,Zarits,Christoph,male,1980,ÖVP,Österreich,Nationalrat,christophzarits
784,Person,Zehetner,Elisabeth,female,1977,ÖVP,Österreich,Bundesregierung,elisabeth_zehetner
787,Person,Zierfuß,Harald,male,2000,ÖVP,Wien,Landtag,harald_zierfuss
790,Person,Zorba,Süleyman,male,1993,GRÜNE,Österreich,Nationalrat,zorbasu
797,Partei,,,,-1,GRÜNE,Burgenland,,diegruenenbgld
801,Partei,,,,-1,NEOS,Kärnten,,neoskaernten
802,Partei,,,,-1,SPÖ,Kärnten,,spoektn
806,Partei,,,,-1,GRÜNE,Niederösterreich,,diegruenennoe
807,Partei,,,,-1,SPÖ,Niederösterreich,,spoe_niederoesterreich
808,Partei,,,,-1,NEOS,Niederösterreich,,neos.noe
811,Partei,,,,-1,SPÖ,Oberösterreich,,spoe_oberoesterreich
812,Partei,,,,-1,FPÖ,Oberösterreich,,fpoe_ooe
813,Partei,,,,-1,GRÜNE,Oberösterreich,,diegruenenooe
814,Partei,,,,-1,ÖVP,Oberösterreich,,ooevp
815,Partei,,,,-1,NEOS,Oberösterreich,,neos_ooe
816,Partei,,,,-1,NEOS,Salzburg,,neos_salzburg
821,Partei,,,,-1,GRÜNE,Steiermark,,diegruenenstmk
822,Partei,,,,-1,ÖVP,Steiermark,,steirischevolkspartei
826,Partei,,,,-1,SPÖ,Tirol,,spoetirol
827,Partei,,,,-1,FPÖ,Tirol,,fpoe.tirol
828,Partei,,,,-1,GRÜNE,Tirol,,gruene_tirol
831,Partei,,,,-1,NEOS,Vorarlberg,,neos.vlbg
832,Partei,,,,-1,ÖVP,Vorarlberg,,vorarlberger_volkspartei
833,Partei,,,,-1,GRÜNE,Vorarlberg,,diegruenenvorarlberg
836,Partei,,,,-1,ÖVP,Wien,,wienervp
837,Partei,,,,-1,NEOS,Wien,,neos_wien
838,Partei,,,,-1,GRÜNE,Wien,,diegruenenwien
839,Partei,,,,-1,SPÖ,Wien,,spoe.wien
840,Partei,,,,-1,FPÖ,Wien,,fpoe_wien
841,Partei,,,,-1,GRÜNE,Österreich,,diegruenenaustria
842,Partei,,,,-1,NEOS,Österreich,,neos_eu
843,Partei,,,,-1,SPÖ,Österreich,,spoe_at
844,Partei,,,,-1,FPÖ,Österreich,,fpoe_at
